nombre_curso,price(USD),cant_suscriptores,cant_opiniones,cant_lecciones,nivel,valoracion,duracion_curso,categoria,Free/Paid,fecha_curso,año
Basic Technical Analysis: Learn the structure of the market,20.0,4919,79,16,Mixto,4.8,1.5,Negocios y Finanzas,Paid,2016-01-08,2016
Guía práctica para comprar acciones en la Bolsa de USA,0.0,4876,210,36,Mixto,4.3,4.5,Negocios y Finanzas,Free,2014-09-11,2014
Futures/Commodity Training (Basics),0.0,4863,202,6,Mixto,4.35,1.5,Negocios y Finanzas,Free,2015-02-07,2015
Basics of Business Finance,30.0,4855,64,24,Mixto,2.45,4.0,Negocios y Finanzas,Paid,2013-03-22,2013
Introduction to Equity Markets,0.0,4770,64,31,Mixto,3.3000000000000003,6.5,Negocios y Finanzas,Free,2015-07-30,2015
Professional Trader's Mindset - Complete Forex Course,50.0,4702,17,6,Intermedio,3.5,1.0,Negocios y Finanzas,Paid,2013-06-07,2013
Business finances,75.0,4695,7,20,Principiante,3.7,1.0,Negocios y Finanzas,Paid,2014-05-07,2014
Accounting: Get Hired Without Work Experience,100.0,4661,187,20,Mixto,0.1,1.0,Negocios y Finanzas,Paid,2014-09-01,2014
Build a DCF Model from Scratch,0.0,4653,395,5,Principiante,1.25,0.5166666667,Negocios y Finanzas,Free,2014-09-14,2014
Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),0.0,4607,181,11,Principiante,3.8,0.5333333333,Negocios y Finanzas,Free,2016-05-17,2016
Hands-on Financial Modeling (With 6 Excel Templates),30.0,4601,38,14,Principiante,1.05,4.0,Negocios y Finanzas,Paid,2015-04-02,2015
EFT for Stock Options Trading Success & Making Better Trades,95.0,4530,13,31,Mixto,2.9499999999999997,1.5,Negocios y Finanzas,Paid,2015-08-06,2015
Practical Finance,20.0,4497,281,11,Mixto,4.0,1.0,Negocios y Finanzas,Paid,2015-07-14,2015
Capital Structuring Techiques for CA / CFA / CPA Exams,125.0,4480,12,50,Principiante,2.7,7.0,Negocios y Finanzas,Paid,2014-12-05,2014
Forex Trading Secrets of the Pros With Amazon's AWS,200.0,4284,93,76,Mixto,4.2,5.0,Negocios y Finanzas,Paid,2015-09-11,2015
IAS 12 - Accounting for Income Taxes (Basics),0.0,4269,60,17,Mixto,4.2,4.5,Negocios y Finanzas,Free,2014-05-17,2014
VPS for Forex Trading - Protect Your Forex Robots,160.0,4252,225,24,Principiante,4.2,2.0,Negocios y Finanzas,Paid,2014-09-19,2014
Introduction to the CFA Program,0.0,4248,66,6,Principiante,4.2,1.0,Negocios y Finanzas,Free,2013-08-12,2013
"Comprehensive Guide to Financial Markets, Investing &Trading",60.0,4187,600,79,Principiante,4.2,9.0,Negocios y Finanzas,Paid,2016-02-29,2016
Finance for Non-Finance: Learn Quick and Easy,20.0,4158,51,30,Mixto,4.2,2.5,Negocios y Finanzas,Paid,2016-02-25,2016
Trading for everyone - The Independent Investor Course I,120.0,4133,15,36,Principiante,4.2,4.0,Negocios y Finanzas,Paid,2015-10-08,2015
TechniTrader Leading Hybrid Indicator Trading,20.0,4117,54,5,Principiante,4.2,1.0,Negocios y Finanzas,Paid,2013-04-04,2013
Mergers and Acquisitions M&A Essentials You Need to Know,95.0,4103,19,15,Mixto,4.2,1.0,Negocios y Finanzas,Paid,2013-11-13,2013
Accounting Basics in 66 Minutes (absolutely for beginners),25.0,4086,31,14,Mixto,4.2,1.5,Negocios y Finanzas,Paid,2015-03-08,2015
Trading Options For Consistent Returns: Options Basics,0.0,4077,281,20,Mixto,4.2,1.5,Negocios y Finanzas,Free,2016-08-18,2016
Forex Trading Course: Work Smarter Not Harder Proven Results,195.0,4061,52,16,Mixto,4.2,2.0,Negocios y Finanzas,Paid,2016-03-16,2016
