nombre_curso,nivel_del_curso,horas_dedicadas,duracion_del_curso(Semanas),lenguaje,precio(USD),organizacion,cant_estudiantes
Seguridad Vial enAmérica Latina y elCaribe: de la teoría a la……,Principiante,2–3 hours per week,10,Español,25.0,Inter-American Development Bank,20369
"Cannabis Compliance,Testing, and Research…",Principiante,5–10 hours per week,3,Ingles,179.0,Doane University,45365
Injury Prevention forChildren & Teens…,Principiante,4–6 hours per week,5,Ingles,49.0,The University of Michigan,45365
Social Work: Research…,Avanzado,3–4 hours per week,8,Ingles,199.0,The University of Michigan,11747
La realidad del desarrollosocial latinoamericano…,Principiante,3–4 hours per week,10,Español,25.0,Inter-American Development Bank,21703
Social Welfare Policy andServices…,Avanzado,8–10 hours per week,8,Ingles,199.0,The University of Michigan,7531
One Health: A TenThousand Year-Old Viewinto the Future…,Intermedio,5–7 hours per week,8,Ingles,139.0,University of Alaska Fairbanks,45365
Tecnología yenvejecimiento…,Principiante,3–4 hours per week,3,Español,50.0,Universitat Politècnica de Valencia,45365
CERTaIN:Patient-CenteredOutcomes Research…,Principiante,3–4 hours per week,3,Ingles,249.0,The University of Texas MD Anderson Cancer Center in Houston,45365
Introducción a ALT -Tecnología de Asistenciaa la Vida…,Principiante,2–3 hours per week,4,Español,50.0,Universitat Politècnica de Valencia,45365
Humanitarian Responseto Conflict and Disaster…,Principiante,3–4 hours per week,5,Ingles,99.0,Harvard University,121012
Agua 2.0: empresaseficientes para el sigloXXI…,Principiante,2–3 hours per week,8,Español,25.0,Inter-American Development Bank,5124
Innovating in Health Care…,Intermedio,6–8 hours per week,9,Ingles,169.0,Harvard University,55628
Forensic Engineering:Learning from Failures…,Principiante,3–4 hours per week,6,Ingles,50.0,Delft University of Technology,12660
"Health, Safety andWellness in Mining…",Avanzado,3–5 hours per week,8,Ingles,199.0,The University of Queensland,45365
Organisation de réseauxet de systèmes locaux desoins intégrés…,Intermedio,6–8 hours per week,14,Frances,50.0,Université catholique de Louvain,45365
Cuidado al adulto mayor:una mirada alenvejecimiento…,Principiante,8–10 hours per week,4,Español,49.0,Pontificia Universidad Javeriana,45365
Apnea y Trastornos delSueño…,Principiante,9–10 hours per week,10,Español,49.0,Pontificia Universidad Javeriana,45365
Bioseguridad y equipo deprotección para laprevención de COVID-19…,Principiante,4–5 hours per week,4,Español,29.0,Universidad Galileo,45365
Riesgo biológico ybioseguridad en elentorno laboral…,Principiante,4–5 hours per week,4,Español,29.0,Universidad Galileo,45365
From Brain to Symptom –Introduction toNeuroscientific Psychia……,Avanzado,3–4 hours per week,3,Ingles,49.0,KIx: Karolinska Institutet,45365
"Global Health: Ebola,COVID, and Beyond…",Principiante,2–3 hours per week,6,Ingles,49.0,"University of Maryland Global Campus, University of Maryland, Baltimore, University System of Maryland",45365
Sexualidad sin tabú:hablemos conadolescentes…,Principiante,5–6 hours per week,6,Español,49.0,Pontificia Universidad Javeriana,45365
Practical ImprovementScience in Health Care: ARoadmap for Getting Re……,Principiante,2–5 hours per week,7,Ingles,99.0,Harvard University,45365
Ortodoncia: tratamientosdentales sencillos paracasos complejos…,Avanzado,9–10 hours per week,5,Español,49.0,Pontificia Universidad Javeriana,45365
The Body Matters: WhyExercise Makes YouHealthy and How to Sta……,Principiante,3–5 hours per week,10,Ingles,49.0,McGill,45365
Project MARCH: behindthe technology of roboticexoskeletons…,Principiante,4–6 hours per week,6,Ingles,50.0,Delft University of Technology,45365
Healthcare in India:Strategic Perspectives…,Avanzado,3–4 hours per week,5,Ingles,50.0,Indian Institute of Management Bangalore,45365
CERTaIN: KnowledgeSynthesis: SystematicReviews and Clinical De……,Principiante,4–5 hours per week,3,Ingles,249.0,The University of Texas MD Anderson Cancer Center in Houston,45365
CERTaIN: PragmaticClinical Trials andHealthcare Delivery Eva……,Principiante,4–5 hours per week,3,Ingles,249.0,The University of Texas MD Anderson Cancer Center in Houston,45365
Introduction toSimulation Education inHealthcare…,Principiante,1–4 hours per week,1,Ingles,50.0,University of Tennessee,45365
CERTaIN: CER/PCORMethods: Introduction…,Principiante,1–2 hours per week,3,Ingles,249.0,The University of Texas MD Anderson Cancer Center in Houston,45365
CERTaIN: ObservationalStudies and Registries…,Principiante,4–5 hours per week,3,Ingles,249.0,The University of Texas MD Anderson Cancer Center in Houston,45365
Healthy Ageing in 6Steps. Let yourenvironment do the work.…,Principiante,2–3 hours per week,6,Ingles,49.0,Delft University of Technology,45365
Technologie etvieillissement…,Principiante,3–4 hours per week,3,Frances,50.0,Universitat Politècnica de Valencia,45365
Site Planning Online…,Intermedio,4–6 hours per week,10,Ingles,99.0,Massachusetts Institute of Technology,14651
Sustainability inArchitecture: AnInterdisciplinary Introdu……,Intermedio,3–4 hours per week,4,Ingles,50.0,Universitat Politècnica de Valencia,32794
"Data Science forConstruction,Architecture and Engine……",Principiante,4–6 hours per week,7,Ingles,199.0,The National University of Singapore,12904
Introducción a losencofrados y las cimbrasen obra civil y edificación…,Principiante,2–3 hours per week,4,Español,50.0,Universitat Politècnica de Valencia,16978
What do Architects andUrban Planners do?…,Principiante,2–3 hours per week,3,Ingles,49.0,Wits University,11819
Sustainable Cities…,Intermedio,4–6 hours per week,9,Ingles,49.0,SDG Academy,17414
Circular Economy for aSustainable BuiltEnvironment…,Intermedio,3–5 hours per week,6,Ingles,50.0,Delft University of Technology,8652
Caer o No caer. ElSecreto de lasEstructuras.…,Principiante,2–3 hours per week,8,Español,29.0,Universidad Carlos III de Madrid,21463
Ecodesign for Cities andSuburbs…,Principiante,4–5 hours per week,6,Ingles,99.0,University of British Columbia,28971
Big Data forUnderstanding UrbanizingChina | 大数据与城市规划…,Principiante,1–2 hours per week,15,Chino,149.0,Tsinghua University,45365
Built environmentsustainabilityassessment…,Intermedio,3–4 hours per week,5,Ingles,79.0,Universitat Politècnica de Valencia,45365
Archeoastronomia eOrologi Solari…,Principiante,4–6 hours per week,6,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
Il Teatro e le sue illusioniprospettiche…,Principiante,4–6 hours per week,10,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
Dynamic EnergyModelling of Buildings:Thermal Simulation…,Intermedio,6–8 hours per week,5,Ingles,99.0,Delft University of Technology,45365
Global Housing Design…,Intermedio,4–5 hours per week,6,Ingles,99.0,Delft University of Technology,45365
Four Facets ofContemporary JapaneseArchitecture: City…,Intermedio,1–2 hours per week,9,Japones,49.0,The University of Tokyo,45365
Four Facets ofContemporary JapaneseArchitecture: Theory…,Intermedio,2–3 hours per week,5,Japones,49.0,The University of Tokyo,45365
Nature BasedMetropolitan Solutions…,Avanzado,4–6 hours per week,6,Ingles,50.0,"Delft University of Technology, Wageningen University & Research, Delft University & Wageningen University",45365
Four Facets ofContemporary JapaneseArchitecture: Technology…,Intermedio,1–2 hours per week,7,Japones,49.0,The University of Tokyo,45365
Sustainable UrbanEnvironments…,Principiante,2–4 hours per week,6,Ingles,50.0,Trinity College,45365
Mechanics of DeformableStructures: Part 1…,Intermedio,10–12 hours per week,12,Ingles,99.0,Massachusetts Institute of Technology,45365
Entrepreneurial LandRedevelopmentApproach: Land Readjus……,Principiante,3–5 hours per week,5,Ingles,99.0,Massachusetts Institute of Technology,45365
Récits d'urbanisme etquestion des communs…,Avanzado,6–10 hours per week,12,Frances,50.0,Université catholique de Louvain,45365
3D Modeling fromArchitectural Drawings…,Principiante,4–6 hours per week,4,Ingles,149.0,IITBombay,45365
Realistic Architectural 3DModeling…,Principiante,4–6 hours per week,4,Ingles,149.0,IITBombay,45365
Introduction to FinTech…,Principiante,1–3 hours per week,6,Ingles,199.0,University of Hong Kong,75402
International Law…,Avanzado,6–8 hours per week,12,Ingles,150.0,Université catholique de Louvain,93741
Intellectual Property Lawand Policy: Part 1…,Intermedio,2–3 hours per week,6,Ingles,169.0,University of Pennsylvania,44905
Líderes para la Gestiónen Seguridad Ciudadanay Justicia…,Intermedio,4–5 hours per week,10,Español,25.0,Inter-American Development Bank,13067
Foundations of CentralBank Law…,Intermedio,2–6 hours per week,6,Ingles,25.0,The International Monetary Fund,6637
International InvestmentLaw…,Avanzado,6–8 hours per week,10,Ingles,150.0,Université catholique de Louvain,23882
Introducción al Derechoen la vida cotidiana…,Principiante,5–6 hours per week,5,Español,29.0,Universidad Autónoma de Madrid,45365
Intellectual Property Lawand Policy: Part 2…,Intermedio,2–3 hours per week,7,Ingles,169.0,University of Pennsylvania,17706
Comparative JudicialSystems…,Principiante,5–8 hours per week,5,Ingles,60.0,Università degli Studi di Napoli Federico II,5704
Leaders in CitizenSecurity and JusticeManagement for the Ca……,Intermedio,4–5 hours per week,10,Ingles,25.0,Inter-American Development Bank,45365
Open and SmartGovernment…,Intermedio,4–7 hours per week,4,Ingles,50.0,Delft University of Technology,9918
Navigating Legal &Commercial Aspects ofSports…,Principiante,1–3 hours per week,8,Ingles,99.0,Hamad Bin Khalifa University,45365
Educación Supranacional:OrganismosInternacionales y su im……,Principiante,3–5 hours per week,6,Español,29.0,Universidad Autónoma de Madrid,45365
Comparative Equality andAnti-Discrimination Law…,Principiante,4–6 hours per week,16,Ingles,75.0,Stanford University,45365
SDG: Moving TowardsSustainable Work…,Intermedio,2–3 hours per week,5,Ingles,129.0,Universidad Carlos III de Madrid,45365
Conversazioni di dirittoamministrativo…,Principiante,4–6 hours per week,6,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
La riforma del lavoro inItalia…,Principiante,4–6 hours per week,6,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
International HumanRights Law…,Avanzado,6–8 hours per week,12,Ingles,150.0,Université catholique de Louvain,75632
Intellectual PropertyRights: A ManagementPerspective…,Avanzado,3–4 hours per week,6,Ingles,149.0,Indian Institute of Management Bangalore,12088
Project Finance: FundingProjects Successfully…,Avanzado,4–6 hours per week,5,Ingles,199.0,Delft University of Technology,12148
Introduction to BusinessNegotiations…,Principiante,4–6 hours per week,6,Ingles,349.0,Indiana University,45365
Applied BusinessNegotiations…,Principiante,4–6 hours per week,7,Ingles,399.0,Indiana University,45365
Perdón y reconciliación:cómo sanar heridas…,Principiante,5–6 hours per week,7,Español,49.0,Pontificia Universidad Javeriana,45365
Structuring BusinessAgreements for Success…,Principiante,2–3 hours per week,5,Ingles,49.0,Cornell University,45365
High Conflict in Law:Personality Disorders andDisputes…,Principiante,1–2 hours per week,3,Ingles,49.0,"The University of Newcastle, Australia",45365
International ClimateChange Law and Policy…,Intermedio,2–3 hours per week,4,Ingles,49.0,"The University of Newcastle, Australia",45365
Entorno legal delEmprendimiento…,Principiante,6–8 hours per week,8,Español,49.0,Pontificia Universidad Javeriana,45365
Restorative Justice andPractice: Emergence of aSocial Movement…,Principiante,2–5 hours per week,6,Ingles,49.0,Victoria University of Wellington,45365
国际刑法学 | InternationalCriminal Law…,Intermedio,3–4 hours per week,14,Chino,49.0,Peking University,45365
Freedom of Expressionand Information in theTime of Globalization: A……,Intermedio,4–12 hours per week,4,Ingles,45.0,Columbia University,45365
Basic Japanese Civil Law…,Principiante,2–3 hours per week,7,Ingles,59.0,Tokyo Institute of Technology,45365
Mining for Development:The Taxation Linkage…,Intermedio,2–3 hours per week,7,Ingles,49.0,Wits University,45365
Droit d’asile et desréfugiés…,Avanzado,6–8 hours per week,14,Frances,50.0,Université catholique de Louvain,45365
知识产权法律及实务|Big Data andIntellectual Property Lawand Practice…,Principiante,3–5 hours per week,16,Chino,99.0,Tsinghua University,45365
"Understanding Wireless:Technology, Economics,and Policy…",Principiante,5–7 hours per week,6,Ingles,50.0,University of Notre Dame,45365
High Conflict in Law: AnIntroduction…,Principiante,1–2 hours per week,3,Ingles,49.0,"The University of Newcastle, Australia",45365
Top 10 Social Issues forthe President’s First 100Days…,Principiante,1–2 hours per week,14,Ingles,49.0,University of Pennsylvania,45365
Energy WithinEnvironmentalConstraints…,Principiante,3–5 hours per week,10,Ingles,139.0,Harvard University,98102
Una mirada a la gestiónde riesgos ambientales ysociales en proyectos BID…,Principiante,2–3 hours per week,1,Español,25.0,Inter-American Development Bank,6397
Solid Waste Management…,Principiante,2–3 hours per week,6,Ingles,5.0,World Bank Group,8318
e-Learning on DigitalAgriculture…,Principiante,2–3 hours per week,5,Ingles,5.0,World Bank Group,6822
Sustainable UrbanDevelopment…,Principiante,4–6 hours per week,7,Ingles,50.0,"Delft University of Technology, Wageningen University & Research, Delft University & Wageningen University",46318
Measuring SustainableDevelopment…,Intermedio,1–3 hours per week,5,Ingles,25.0,SDG Academy,45365
Sustainable Packaging ina Circular Economy…,Intermedio,3–4 hours per week,6,Ingles,50.0,Delft University of Technology,14078
Climate Change:Financial Risks andOpportunities…,Intermedio,2–10 hours per week,4,Ingles,79.0,"Imperial College Business School, Imperial College London",10658
Landscape Ecology…,Intermedio,2–4 hours per week,14,Ingles,50.0,ETH Zurich,9135
Sustainable Tourism:Society & EnvironmentalAspects…,Principiante,5–7 hours per week,6,Ingles,99.0,Wageningen University & Research,13153
Environmental Protectionand Sustainability…,Principiante,3–4 hours per week,8,Ingles,49.0,IsraelX,20658
Co-Creating SustainableCities…,Avanzado,6–8 hours per week,8,Ingles,49.0,"Delft University of Technology, Wageningen University & Research, Delft University & Wageningen University",12664
Introduction to theNatural Capital ProjectApproach…,Principiante,8–10 hours per week,1,Ingles,50.0,Stanford University,45365
Transforming Our World:Achieving theSustainable Developme……,Intermedio,2–4 hours per week,1,Ingles,25.0,SDG Academy,7742
The Business of Mining…,Principiante,2–3 hours per week,4,Ingles,139.0,Curtin University,20625
Macroeconomics for aSustainable Planet…,Intermedio,2–4 hours per week,13,Ingles,49.0,SDG Academy,7833
Sustainable UrbanFreight Transport: AGlobal Perspective…,Principiante,4–6 hours per week,5,Ingles,50.0,Delft University of Technology,7963
Iniciación a la evaluacióndel impacto ambiental…,Principiante,2–3 hours per week,7,Español,29.0,Universitat Politècnica de Valencia,45365
Sustainable Tourism:Rethinking the future…,Intermedio,6–8 hours per week,9,Ingles,99.0,Wageningen University & Research,6493
e-Learning Course onUrban Rail Development…,Principiante,2–3 hours per week,7,Ingles,5.0,World Bank Group,45365
Agua en América Latina:Abundancia en medio dela escasez mundial…,Principiante,3–4 hours per week,10,Español,25.0,Inter-American Development Bank,38723
Environmental andNatural ResourcesEconomics…,Intermedio,10–15 hours per week,8,Ingles,199.0,Doane University,45365
Water and WastewaterTreatment Engineering:Biochemical Technology……,Principiante,5–6 hours per week,10,Chino,49.0,Tsinghua University,9576
Application of ISO 14001for Waste Prevention…,Avanzado,10–14 hours per week,8,Ingles,99.0,ITMO University,45365
Agricultural EconomicModeling Tools…,Intermedio,10–15 hours per week,8,Ingles,199.0,Doane University,45365
Sustainability Science –A Key Concept for FutureDesign…,Principiante,2–3 hours per week,6,Ingles,49.0,The University of Tokyo,8811
Landscape Finance:Investing in Innovationfor Sustainable Landsca……,Intermedio,1–3 hours per week,4,Ingles,99.0,Wageningen University & Research,45365
Water and WastewaterTreatment Engineering:Physicochemical Techn……,Principiante,5–6 hours per week,10,Chino,49.0,Tsinghua University,17161
Essential Tools For TheLow Carbon Economy…,Principiante,2–3 hours per week,5,Ingles,99.0,The University of Queensland,7497
Generalidades delDesarrollo Sostenible…,Principiante,8–10 hours per week,6,Español,49.0,Pontificia Universidad Javeriana,45365
A Look at Environmentaland Social RiskManagement in Project……,Principiante,2–3 hours per week,1,Ingles,25.0,Inter-American Development Bank,45365
Proyectos BID:Elementos Clave…,Principiante,2–3 hours per week,1,Español,25.0,Inter-American Development Bank,45365
Producción y consumoresponsable: ODS 12…,Principiante,4–6 hours per week,4,Español,49.0,Universidad del Rosario,45365
Tsunamis and StormSurges: Introduction toCoastal Disasters…,Principiante,3–4 hours per week,6,Ingles,49.0,Waseda University,8540
Hydraulique fluviale 1 -Écoulements à surfacelibre…,Avanzado,4–6 hours per week,6,Frances,50.0,Université catholique de Louvain,45365
Instrumentos para elFinanciamiento climático…,Intermedio,8–10 hours per week,6,Ingles,49.0,Pontificia Universidad Javeriana,45365
Environmental PollutionEvents and EmergencyResponse Introduction…,Principiante,2–3 hours per week,15,Ingles,49.0,Peking University,45365
Introducción al enfoquedel proyecto CapitalNatural…,Principiante,8–10 hours per week,1,Español,50.0,Stanford University,45365
EnvironmentalEngineering: DrinkingWater Treatment…,Intermedio,4–5 hours per week,5,Ingles,49.0,Seoul National University,45365
"AGRIMONITOR: políticaagropecuaria, seguridadalimentaria y cambio cli……",Principiante,6–8 hours per week,5,Español,25.0,Inter-American Development Bank,45365
Waste Management andCritical Raw Materials…,Principiante,4–6 hours per week,6,Ingles,50.0,Delft University of Technology,45365
Managing BuildingAdaptation: ASustainable Approach…,Intermedio,4–6 hours per week,6,Ingles,50.0,Delft University of Technology,45365
Socially-Responsible RealEstate Development…,Intermedio,3–5 hours per week,5,Ingles,99.0,Massachusetts Institute of Technology,45365
AGRIMONITOR:Agricultural Policy inLatin America and the C……,Principiante,6–8 hours per week,5,Ingles,25.0,Inter-American Development Bank,45365
The Future of Mining?…,Principiante,4–5 hours per week,5,Ingles,99.0,The University of Queensland,45365
Introduction to LandManagement…,Principiante,2–4 hours per week,6,Ingles,49.0,Technische Universität München,45365
Building expertise ondeveloping sustainableand resilient infrastruct……,Principiante,4–6 hours per week,9,Ingles,50.0,École polytechnique fédérale de Lausanne,45365
Conservation & ProtectedAreas Management inAfrica…,Intermedio,2–4 hours per week,13,Ingles,50.0,École polytechnique fédérale de Lausanne,45365
Climat – de la science àl’action…,Principiante,3–5 hours per week,4,Frances,5.0,World Bank Group,45365
Globalisation andSustainable Development…,Principiante,2–3 hours per week,4,Ingles,99.0,Curtin University,45365
Pratiques de GestionOptimale des EauxPluviales…,Intermedio,2–4 hours per week,4,Frances,49.0,Université Mohammed VI Polytechnique,45365
Hydraulique fluviale 2 :Sédiments etmorphologie fluviale…,Avanzado,4–6 hours per week,8,Frances,50.0,Université catholique de Louvain,45365
Gestion des airesprotégées en Afrique…,Intermedio,2–4 hours per week,13,Frances,50.0,École polytechnique fédérale de Lausanne,45365
Minerals and Mining in aSustainable World…,Avanzado,4–5 hours per week,8,Ingles,299.0,The University of Queensland,45365
Circular Economy: AnIntroduction…,Principiante,3–6 hours per week,7,Ingles,50.0,Delft University of Technology,51481
Digital Design…,Principiante,5–6 hours per week,5,Ingles,50.0,The Hong Kong University of Science and Technology,13225
Future Trends of Fashionand Textiles 時尚之未來趨勢(時尚之未来趋势)…,Principiante,2–6 hours per week,6,Ingles,99.0,The Hong Kong Polytechnic University,45365
Engineering Design for aCircular Economy…,Avanzado,3–4 hours per week,6,Ingles,50.0,Delft University of Technology,9080
Design ThinkingFundamentals…,Intermedio,8–12 hours per week,6,Ingles,299.0,Rochester Institute of Technology,58446
"Design Thinking: Ideation,Iteration andCommunication…",Intermedio,8–12 hours per week,6,Ingles,299.0,Rochester Institute of Technology,15140
Design Thinking:Empathizing toUnderstand the Problem…,Intermedio,8–12 hours per week,6,Ingles,299.0,Rochester Institute of Technology,13682
Design Thinking:Prototyping and UserTesting…,Intermedio,8–12 hours per week,6,Ingles,299.0,Rochester Institute of Technology,11002
Design ThinkingCapstone…,Intermedio,8–12 hours per week,6,Ingles,299.0,Rochester Institute of Technology,45365
IoT Capstone Project…,Intermedio,6–8 hours per week,12,Ingles,599.0,Curtin University,45365
Adobe Illustrator:aprende a crearpresentaciones de impa……,Principiante,9–10 hours per week,5,Español,15.0,Pontificia Universidad Javeriana,45365
Lánzate a la Innovacióncon Design Thinking…,Principiante,4–6 hours per week,7,Español,49.0,Pontificia Universidad Javeriana,45365
Basic 3D Animation usingBlender…,Principiante,4–6 hours per week,4,Ingles,49.0,IITBombay,45365
Introduction to GameDesign…,Principiante,8–10 hours per week,7,Ingles,99.0,Massachusetts Institute of Technology,45365
Design Thinking forLeading and Learning…,Intermedio,4–6 hours per week,6,Ingles,49.0,"Massachusetts Institute of Technology, Microsoft Education",45365
Design and Developmentof Games for Learning…,Principiante,6–10 hours per week,9,Ingles,99.0,Massachusetts Institute of Technology,45365
Mechanics of DeformableStructures: Part 2…,Intermedio,10–12 hours per week,8,Ingles,99.0,Massachusetts Institute of Technology,45365
Design Practice inBusiness: SparkInnovation like a Designer…,Principiante,3–6 hours per week,5,Ingles,79.0,Delft University of Technology,45365
"Design in the Classroomwith Cooper Hewitt,Smithsonian Design Mu……",Principiante,1–2 hours per week,5,Ingles,50.0,The Smithsonian Institution,45365
Envisioning the Graduateof the Future…,Intermedio,2–4 hours per week,4,Ingles,49.0,Massachusetts Institute of Technology,45365
Implementing CustomerInsights for YourBusiness…,Intermedio,3–4 hours per week,4,Ingles,250.0,Delft University of Technology,45365
Design Leadership andInnovation…,Avanzado,3–4 hours per week,4,Ingles,399.0,Delft University of Technology,45365
Introduction toEngineering: Imagine.Design. Engineer!…,Principiante,6–8 hours per week,16,Ingles,49.0,Arizona State University,45365
Basic 3D Modeling usingBlender…,Principiante,4–6 hours per week,4,Ingles,49.0,IITBombay,45365
A Hands-on Introductionto EngineeringSimulations…,Intermedio,4–6 hours per week,6,Ingles,199.0,Cornell University,192982
Introduction to ProjectManagement…,Principiante,2–3 hours per week,6,Ingles,199.0,University of Adelaide,312568
Six Sigma: Define andMeasure…,Principiante,3–4 hours per week,8,Ingles,99.0,Technische Universität München,96042
Basics of Power BI…,Principiante,1–5 hours per week,2,Ingles,49.0,Rolls-Royce,11325
Electric Cars: Technology…,Intermedio,4–5 hours per week,4,Ingles,50.0,Delft University of Technology,42076
Lean Production…,Principiante,3–4 hours per week,6,Ingles,99.0,Technische Universität München,57184
Introduction to Internet ofThings (IoT)…,Principiante,1–5 hours per week,2,Ingles,49.0,Rolls-Royce,7085
Introduction toAeronautical Engineering…,Principiante,10–12 hours per week,7,Ingles,50.0,Delft University of Technology,101554
"LaTeX for Students,Engineers, and Scientists…",Principiante,3–4 hours per week,7,Ingles,139.0,IITBombay,12498
"Six Sigma: Analyze,Improve, Control…",Principiante,3–4 hours per week,8,Ingles,99.0,Technische Universität München,56951
"Mechanical Behavior ofMaterials, Part 1: LinearElastic Behavior…",Intermedio,11–13 hours per week,5,Ingles,49.0,Massachusetts Institute of Technology,29049
Fundamentos de logística…,Principiante,4–8 hours per week,5,Español,29.0,LOGYCA,8082
Robotics Foundations I -Robot Modeling…,Intermedio,8–10 hours per week,8,Ingles,60.0,Università degli Studi di Napoli Federico II,11036
Product Design: The DelftDesign Approach…,Intermedio,6–8 hours per week,7,Ingles,79.0,Delft University of Technology,88221
Drinking Water Treatment…,Intermedio,6–8 hours per week,7,Ingles,50.0,Delft University of Technology,52484
Effective Communicationfor Program and ProjectStakeholders and Teams…,Principiante,3–5 hours per week,5,Ingles,199.0,"The University of Maryland, College Park, University System of Maryland",45365
Introducción a la energíasolar fotovoltaica: Elmódulo fotovoltaico…,Intermedio,3–4 hours per week,4,Español,50.0,Universitat Politècnica de Valencia,15178
Railway Engineering: AnIntegral Approach…,Principiante,4–6 hours per week,6,Ingles,50.0,Delft University of Technology,18349
Logística del futuro…,Principiante,3–5 hours per week,5,Español,29.0,LOGYCA,6006
Urban Sewage Treatment…,Intermedio,6–8 hours per week,7,Ingles,50.0,Delft University of Technology,40915
Agile MindsetIntroduction…,Principiante,1–5 hours per week,2,Ingles,49.0,Rolls-Royce,45365
Effective DecisionMaking: Dealing withBusiness Complexity…,Intermedio,4–5 hours per week,5,Ingles,125.0,Delft University of Technology,26538
Dealing with Power andDynamics: Discover YourLeadership Style and Inf……,Intermedio,4–5 hours per week,5,Ingles,125.0,Delft University of Technology,16286
Smart Grids: The Basics…,Intermedio,4–6 hours per week,6,Ingles,99.0,Delft University of Technology,45365
"Mechanical Behavior ofMaterials, Part 2:  StressTransformations, Beam……",Intermedio,11–13 hours per week,4,Ingles,49.0,Massachusetts Institute of Technology,14629
Electric Cars: Business…,Intermedio,4–5 hours per week,4,Ingles,50.0,Delft University of Technology,14444
Gestión de inventario yportafolio…,Principiante,3–5 hours per week,5,Español,25.0,LOGYCA,45365
Robot Development…,Intermedio,8–10 hours per week,6,Ingles,60.0,Università degli Studi di Napoli Federico II,45365
Micro andNanofabrication (MEMS)…,Avanzado,3–5 hours per week,7,Ingles,199.0,École polytechnique fédérale de Lausanne,16346
"Cellular Solids Part 1:Structures, Propertiesand Engineering Applica……",Avanzado,11–13 hours per week,9,Ingles,99.0,Massachusetts Institute of Technology,7322
User Experience (UX)Design: Human Factorsand Culture in Design | 设……,Avanzado,1–5 hours per week,7,Ingles,139.0,Tsinghua University,24101
Ingeniería deaeropuertos: diseño dellado aire según OACI (I……,Intermedio,4–5 hours per week,7,Español,75.0,Universitat Politècnica de Valencia,45365
Análisis del riesgo dedesastres y cambioclimático en proyectos……,Avanzado,4–6 hours per week,6,Español,25.0,Inter-American Development Bank,45365
Robotics Foundation II -Robot Control…,Intermedio,8–16 hours per week,12,Ingles,60.0,Università degli Studi di Napoli Federico II,45365
Gestión de compraseficientes para tuempresa…,Principiante,3–5 hours per week,5,Español,25.0,LOGYCA,45365
Logistics Fundamentals…,Principiante,4–7 hours per week,5,Ingles,28.0,LOGYCA,45365
Introduction to Haptics…,Principiante,1–10 hours per week,5,Ingles,129.0,Stanford University,45365
Research Methods: AnEngineering Approach…,Principiante,2–3 hours per week,8,Ingles,169.0,Wits University,20602
Introducción al ControlNumérico porComputadora…,Principiante,2–3 hours per week,4,Español,49.0,TenarisUniversity,6351
Marketing your Androidapps…,Intermedio,6–8 hours per week,5,Ingles,49.0,Universidad Galileo,45365
The Power of Data…,Principiante,1–5 hours per week,2,Ingles,49.0,Rolls-Royce,45365
Introduction to ComputerNumerical Control…,Principiante,2–3 hours per week,4,Ingles,49.0,TenarisUniversity,14908
Geology and EngineeringGeology | 工程地质学…,Principiante,3–6 hours per week,11,Chino,139.0,Tsinghua University,11849
Intro to Traffic FlowModeling and IntelligentTransport Systems…,Intermedio,5–6 hours per week,7,Ingles,199.0,École polytechnique fédérale de Lausanne,5377
Introduction to Steel…,Principiante,1–2 hours per week,5,Ingles,49.0,TenarisUniversity,7525
Distribución: entrega deproductos…,Principiante,3–5 hours per week,5,Español,25.0,LOGYCA,45365
"Mechanical Behavior ofMaterials, Part 3:  TimeDependent Behavior an……",Intermedio,11–13 hours per week,6,Ingles,49.0,Massachusetts Institute of Technology,11320
Dynamics and Control…,Principiante,4–5 hours per week,6,Ingles,50.0,Universitat Politècnica de Valencia,27907
Automotive EngineFundamentals | 汽车发动机原理…,Principiante,2–3 hours per week,14,Chino,49.0,Tsinghua University,45365
Electric Cars: Policy…,Intermedio,4–5 hours per week,4,Ingles,50.0,Delft University of Technology,8128
Diseño de la red de valor…,Principiante,3–5 hours per week,5,Español,25.0,LOGYCA,45365
Diseño de diquesrompeolas con cubípodos…,Avanzado,3–4 hours per week,7,Español,50.0,Universitat Politècnica de Valencia,45365
Data Privacy Awareness…,Principiante,1–5 hours per week,2,Ingles,49.0,Rolls-Royce,45365
Introduction to RunningPipe in Oil and Gas Wells…,Principiante,2–4 hours per week,2,Ingles,49.0,TenarisUniversity,9037
Fundamentos de lacolaboración en lasorganizaciones…,Principiante,5–7 hours per week,5,Español,49.9,LOGYCA,45365
Dispositivos Móviles parala Gestión del Territorio…,Principiante,3–4 hours per week,6,Español,49.0,Universitat Politècnica de Valencia,11481
Fundamentos deComunicaciones Ópticas…,Intermedio,3–4 hours per week,8,Español,49.0,Universitat Politècnica de Valencia,8235
Introduction to DiscreteChoice Models…,Intermedio,5–6 hours per week,7,Ingles,169.0,École polytechnique fédérale de Lausanne,45365
Información estratégicade productos para laventa…,Principiante,3–5 hours per week,4,Español,25.0,LOGYCA,45365
Identificación deproducto con códigos debarras…,Principiante,5–7 hours per week,5,Español,25.0,LOGYCA,45365
