nombre_curso,nivel_del_curso,horas_dedicadas,duracion_del_curso(Semanas),lenguaje,precio(USD),organizacion,cant_estudiantes
Introducción a la Regulación Emocional basada en Mindfulness,Principiante,5–6 hours per week,4,Español,49.0,Universidad Autónoma de Madrid,20634
Design Thinking Fundamentals,Intermedio,8–12 hours per week,6,Ingles,299.0,Rochester Institute of Technology,56446
Basic Spanish 3: Getting there,Principiante,3–4 hours per week,4,Ingles,50.0,Universitat Politècnica de Valencia,17569
Mi propia huerta orgánica,Principiante,1–2 hours per week,4,Español,29.0,Universidad Nacional de Córdoba,11346
Sustainability in Architecture: An Interdisciplinary Introduction,Intermedio,3–4 hours per week,4,Ingles,50.0,Universitat Politècnica de Valencia,31352
Gestión de riesgos en proyectos de desarrollo,Intermedio,2–3 hours per week,10,Español,25.0,Inter-American Development Bank,47676
Python Data Structures,Principiante,2–4 hours per week,7,Ingles,49.0,The University of Michigan,36369
The Science and Business of Biotechnology,Intermedio,10–12 hours per week,16,Ingles,49.0,Massachusetts Institute of Technology,17039
Finance Essentials,Principiante,2–4 hours per week,6,Ingles,79.0,Imperial College Business School-Imperial College London,63666
Introduction to the Internet of Things (IoT),Principiante,2–3 hours per week,6,Ingles,149.0,Curtin University,89421
'Talk to me': Improving mental health and suicide prevention in young adults,Principiante,2–3 hours per week,6,Ingles,139.0,Curtin University,11481
Disaster Medicine Training,Principiante,1–2 hours per week,8,Ingles,50.0,Stanford University,10937
Nutrition and Health: Human Microbiome,Principiante,3–5 hours per week,6,Ingles,49.0,Wageningen University & Research,44079
Customer Relationship Management,Intermedio,3–5 hours per week,6,Ingles,50.0,Indian Institute of Management Bangalore,53085
Islam Through Its Scriptures,Principiante,5–10 hours per week,4,Ingles,99.0,Harvard University,65430
Mechatronics Revolution: Fundamentals and Core Concepts,Principiante,6–8 hours per week,16,Ingles,149.0,The Georgia Institute of Technology,11619
Accounting for Decision-Making,Intermedio,3–5 hours per week,7,Ingles,150.0,Indian Institute of Management Bangalore,57710
C Programming: Language Foundations,Principiante,2–4 hours per week,7,Ingles,49.0,Dartmouth_IMTx-Dartmouth College-IMT,46400
Big Data sin misterios,Intermedio,4–5 hours per week,10,Español,25.0,Inter-American Development Bank,65564
Becoming a Successful Leader (Inclusive Leadership Training),Principiante,1–2 hours per week,4,Ingles,49.0,Catalyst,215705
"English for Journalists, Part 1",Intermedio,3–4 hours per week,5,Ingles,139.0,"University of California, Berkeley",50847
Introduction to Networking,Principiante,3–5 hours per week,7,Ingles,150.0,New York University,16134
Accounting Essentials,Principiante,3–5 hours per week,6,Ingles,79.0,Imperial College Business School-Imperial College London,58463
Introduction to Java Programming: Starting to code in Java,Principiante,7–10 hours per week,5,Ingles,149.0,Universidad Carlos III de Madrid,325554
European Paintings: From Leonardo to Rembrandt to Goya,Principiante,2–3 hours per week,7,Ingles,99.0,Universidad Carlos III de Madrid,60734
Java Programming Fundamentals,Intermedio,8–10 hours per week,5,Ingles,49.0,Universidad Galileo,12042
"Hollywood: History, Industry, Art",Principiante,3–4 hours per week,4,Ingles,169.0,University of Pennsylvania,50033
Data Science Tools,Principiante,3–7 hours per week,7,Ingles,39.0,IBM,15627
Statistical Thinking for Data Science and Analytics,Principiante,7–10 hours per week,5,Ingles,99.0,Columbia University,198861
Philosophy and Critical Thinking,Principiante,1–4 hours per week,6,Ingles,99.0,The University of Queensland,97175
International Law,Avanzado,6–8 hours per week,12,Ingles,150.0,Université catholique de Louvain,91868
Tourism and Travel Management,Principiante,2–3 hours per week,7,Ingles,5.0,The University of Queensland,38503
Project Management Life Cycle,Intermedio,8–12 hours per week,10,Ingles,150.0,Rochester Institute of Technology,120019
Solar Energy,Principiante,6–8 hours per week,8,Ingles,50.0,Delft University of Technology,125069
Public Speaking,Principiante,4–6 hours per week,3,Ingles,199.0,Rochester Institute of Technology,10129
Japanese Pronunciation for Communication,Principiante,3–5 hours per week,5,Japones,99.0,Waseda University,62757
Mindfulness and Resilience to Stress at Work,Principiante,1–2 hours per week,4,Ingles,199.0,"University of California, Berkeley",33414
Framing Your Communication to Inspire and Convince,Intermedio,4–5 hours per week,5,Ingles,125.0,Delft University of Technology,49351
Business Foundations,Principiante,3–5 hours per week,6,Ingles,150.0,University of British Columbia,55154
The Chemistry of Life,Principiante,2–3 hours per week,13,Ingles,49.0,Kyoto University,78704
Nutrition and Health: Micronutrients and Malnutrition,Intermedio,6–8 hours per week,7,Ingles,99.0,Wageningen University & Research,78266
Digital Design,Principiante,5–6 hours per week,5,Ingles,50.0,The Hong Kong University of Science and Technology,12339
Machine Learning for Data Science and Analytics,Principiante,7–10 hours per week,5,Ingles,99.0,Columbia University,140419
The Science of Everyday Thinking,Principiante,2–3 hours per week,12,Ingles,99.0,The University of Queensland,318399
Gestion de projets de développement,Intermedio,3–4 hours per week,10,Frances,25.0,Inter-American Development Bank,41663
Product Management Fundamentals,Principiante,2–3 hours per week,4,Ingles,199.0,"The University of Maryland, College Park-University System of Maryland",11913
International Human Rights Law,Avanzado,6–8 hours per week,12,Ingles,150.0,Université catholique de Louvain,74424
The Best Start in Life: Early Childhood Development for Sustainable Development,Intermedio,2–4 hours per week,8,Ingles,49.0,SDG Academy,23139
Data Science and Machine Learning Capstone Project,Intermedio,3–4 hours per week,6,Ingles,99.0,IBM,21809
"Data Science for Construction, Architecture and Engineering",Principiante,4–6 hours per week,7,Ingles,199.0,The National University of Singapore,11113
"Nutrition, Heart Disease and Diabetes",Intermedio,6–8 hours per week,5,Ingles,99.0,Wageningen University & Research,24986
Project Management for Development,Intermedio,3–4 hours per week,10,Ingles,49.0,Inter-American Development Bank,62099
Introduction to Cloud Infrastructure Technologies,Principiante,3–4 hours per week,14,Ingles,169.0,The Linux Foundation,86923
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",Principiante,4–6 hours per week,5,Ingles,65.0,Wageningen University & Research,13566
